word,score
crapness,0.75475273
ham,0.75468352
frog,0.75259437
infuriating,0.75201354
savage,0.75141218
goddamned,0.7493977
dickweed,0.74939719
jerkwad,0.74881347
dumbarse,0.74713145
reprobate,0.74647741
recluse,0.74640945
cocky,0.74494556
grubby,0.74478633
squalor,0.74468839
undeserving,0.74379253
shitface,0.74360138
demagogue,0.7431994
mong,0.74318655
avaricious,0.74152144
reprobate,0.74135968
heathen,0.74023311
venomous,0.74010097
vomit,0.73822751
barmpot,0.73786774
airheaded,0.7366894
jit,0.73476515
sulky,0.73469826
whinge,0.73468279
intolerant,0.73392102
blundering,0.73368228
perversion,0.7335374
foppish,0.73311242
barbarous,0.73282612
neglectful,0.73234852
sinner,0.73207919
spoilt,0.73188842
toucha,0.7315584
despise,0.7311442
ginzo,0.73079888
jammy,0.73018961
maladroit,0.72988831
crunchie,0.7298157
shortarse,0.72952906
blabber,0.72860451
picky,0.728364
bashing,0.72831785
goit,0.72789083
gossipy,0.72739649
pervy,0.72666282
misbegotten,0.72663054
lamebrain,0.72422555
cursed,0.72343853
rampaging,0.72334614
sham,0.72319509
culchie,0.72265216
wastoid,0.72173474
fooking,0.72022463
foible,0.71965261
crony,0.71922772
goffel,0.71907761
187,0.71754986
cocksucking,0.71744975
abuser,0.71607338
treasonous,0.7150984
buttface,0.71447954
viciousness,0.71387081
bamma,0.71287332
dissolute,0.71286376
careerist,0.7108043
dicking,0.71077261
kooky,0.71035326
fuckshit,0.71032258
cynic,0.70993712
satanic,0.70990739
dope,0.70948028
creepy,0.70923192
mediocre,0.70864743
fucko,0.70854364
bullshitter,0.70779013
tong,0.70768923
genocidal,0.70764499
underling,0.70682965
orangie,0.70641512
sneer,0.70563612
niglet,0.70547817
grotty,0.70546446
bigotry,0.70458495
fascist,0.70326993
feminazi,0.70295675
voodoo,0.70131127
profane,0.70126518
carebear,0.70110784
slunt,0.70078146
mumble,0.70077958
freak,0.69877
cumskin,0.69820702
shits,0.69798447
seppuku,0.69766529
vileness,0.69728113
shitkicker,0.6971289
grin,0.69665791
pseudointellectual,0.69537976
mole,0.69521517
imposter,0.69510591
fook,0.6950067
frigging,0.69425741
fuckstick,0.69416447
troublemaker,0.69393986
cheat,0.69387239
fucknut,0.69362478
paleass,0.69285002
piddle,0.69280303
snook,0.69279243
wankster,0.69272739
dud,0.69272607
beast,0.69259453
emaciated,0.69191805
whorish,0.69163662
arsonist,0.69140278
subhuman,0.69113779
misanthropic,0.69063423
wankstain,0.69042099
wetback,0.68972185
suck,0.68965651
dickwad,0.68912829
vomitskin,0.68909664
pukeskin,0.68909664
scary,0.68872009
keeno,0.68827227
villainous,0.68797631
selfishness,0.687376
darkey,0.68694801
cumslut,0.68568218
psychobitch,0.68556262
skeezer,0.68401332
dothead,0.68239876
shitmuncher,0.68187689
sloppiness,0.6815148
clodpole,0.68142841
cocksucker,0.6807952
fuckload,0.68072693
snarky,0.68048754
gruesome,0.68038656
thundercunt,0.68032452
hoaxer,0.6796195
craphole,0.67878426
twazzock,0.67819811
swaggering,0.67762826
gibberish,0.67735486
plig,0.67722272
leer,0.67718184
dickbag,0.67612998
smear,0.67612149
underneath,0.67594291
wazzer,0.67561539
fuckery,0.67510364
ruthlessness,0.67506232
frogeater,0.67461877
sickly,0.67459727
oddball,0.67435639
hairyback,0.67266463
divvie,0.67198582
clod,0.67130931
dickfuck,0.6712292
masochistic,0.67100819
hobo,0.67100377
shagging,0.67051986
squaw,0.66965593
humping,0.66890629
douchewagon,0.66873843
doucheburger,0.66873843
douchecanoe,0.66873843
fuckpot,0.66867656
bizzie,0.6683818
trucker,0.66753269
snaggletooth,0.66752826
spotty,0.66714335
knob,0.66706031
blab,0.66635468
profiteer,0.66614531
scoff,0.66605169
cursing,0.66587424
cheapskate,0.6658434
cumshot,0.66550354
sore,0.6653438
retarded,0.66500985
skeeze,0.66487538
neurotic,0.66423003
bumfluff,0.66367897
stunod,0.66331956
exhibitionist,0.66323183
cockshit,0.66304649
boofhead,0.66296884
diabolic,0.66259758
nerdbrain,0.66236359
tormentor,0.66219804
wanky,0.6618785
shitbucket,0.66168722
fuckbucket,0.66168722
mindfuck,0.66100541
jerkface,0.66095973
tightass,0.66080697
feral,0.66017012
nastiness,0.65999185
slowcoach,0.65993135
spazmo,0.65979513
artfuck,0.65929311
fucklet,0.65915705
baldie,0.65911562
crook,0.65881324
lardass,0.6587834
fuzznut,0.65875708
chickenlips,0.65834006
browneye,0.65795722
irresponsible,0.6579365
profligate,0.65788083
drool,0.65765449
transgendered,0.65741931
cuntlicker,0.6570922
gawth,0.65665226
shitburger,0.65662593
pinkskin,0.65646337
fuckling,0.65609012
dweebling,0.6558128
unwashed,0.65576501
dicksplash,0.65561769
sadfuck,0.65561769
assmonkey,0.65560273
arsehead,0.65555816
taig,0.65555339
misdeed,0.65551233
junky,0.65549043
fuckfest,0.65496539
impudent,0.65473394
induhvidual,0.65429323
beanbrain,0.65398976
grotesque,0.65367678
douchefag,0.65343465
proselytute,0.65332151
spurn,0.65291091
dickbrain,0.65254079
cementhead,0.65213738
bitchface,0.65213738
blubbo,0.65205942
depressoid,0.65205942
shitbird,0.65186033
hypocrisy,0.65167774
asswad,0.65165425
cuss,0.65102882
nutsack,0.6504465
dicknut,0.65042844
heeb,0.65031952
whoreshit,0.64998762
idiota,0.64937665
fatfuck,0.64921239
spigger,0.64912678
utter,0.64909546
buttbreath,0.64897588
clueless,0.64893886
albo,0.64867422
smegger,0.64843355
leftard,0.64812213
shitstain,0.6480571
arsebreath,0.64784197
jackhole,0.64774048
turdlicker,0.64739763
fagtard,0.64734572
sluthead,0.64723651
pommy,0.64719304
gadgie,0.64712468
philistine,0.6469473
pisspants,0.64649373
moffie,0.64618145
insensitive,0.64614401
fuckbag,0.64593157
tardling,0.64551068
rant,0.6453066
geebag,0.64498813
spazzer,0.64468215
snowbilly,0.64433161
cooze,0.64422009
fugly,0.64388309
zipperhead,0.64365007
racketeer,0.64330732
whackjob,0.64320791
nerdlinger,0.64279668
hosehead,0.64275393
meanderthal,0.64275393
assmunch,0.64213759
psychotic,0.64191784
genderqueer,0.6418647
backbite,0.64181337
slander,0.64160865
gluttony,0.64121149
avenge,0.64104308
scumsucker,0.64087724
jizbag,0.6408393
starfucker,0.64021857
fearsome,0.64010922
sheboon,0.6391271
glasshole,0.63901465
schemie,0.63868429
bourgie,0.63805758
corny,0.63802567
distasteful,0.63794693
wonk,0.6378733
disagreeable,0.63768142
jerkoff,0.63753268
merkin,0.63654887
pussyhole,0.6357036
libtard,0.63519567
supercunt,0.63513026
torturing,0.63410159
fuckhole,0.63399407
behead,0.63381109
mombie,0.63329387
cockmuncher,0.63301951
cockmunch,0.63301951
identikit,0.63279524
cunny,0.63273534
cockaholic,0.63219202
dumbhead,0.63216783
insolent,0.63116588
scrawny,0.63075058
megabitch,0.62960243
antisocial,0.62955493
cowshit,0.62949487
wankette,0.62942436
furfag,0.62926367
anorexic,0.62883198
assholedom,0.62852325
scissor,0.62810575
yanqui,0.62800254
assfucker,0.62733079
buttfuck,0.62713743
immature,0.62645087
depravity,0.62619606
technotard,0.62612641
clusterfuck,0.62609253
stroppy,0.62455457
rockspider,0.62453706
fuckhead,0.62412878
bolshie,0.62388072
turdball,0.62341944
coonass,0.62296197
cuntbiscuit,0.62287202
dicksucker,0.6227368
unsavory,0.62205216
snout,0.62191231
uncouth,0.62097717
clitlicker,0.62089736
sperg,0.619946
nief,0.61969473
crackerass,0.61954399
tardface,0.61924112
fatbutt,0.61923103
lardbutt,0.61923103
farang,0.61891925
niggerfuxation,0.61840897
shitbox,0.61824818
uglies,0.61787983
bohunk,0.61783812
crapface,0.61774426
craphead,0.61774426
wasbian,0.61706067
hasbian,0.61706067
baglady,0.61702235
slipshod,0.6164878
vidiot,0.61629603
schizoid,0.61596917
whiteass,0.61579061
shitneck,0.6156634
cuntsucker,0.61564987
hangdog,0.61478934
merciless,0.61477514
poppycock,0.61383019
bulldagger,0.61344709
taunting,0.61274738
fatface,0.61226079
niggerese,0.61106432
cockblock,0.61074466
perfectionist,0.61070963
poophead,0.61041796
burrhead,0.61033071
koranimal,0.60998753
mudslime,0.60998753
sperglord,0.60898124
shitstorm,0.60893418
tawdry,0.6080824
sorostitute,0.607823
shart,0.6076036
shirker,0.60697893
tosspiece,0.60696834
understatement,0.60623746
greener,0.60561934
niggerdick,0.60496186
celebutard,0.60470207
galoot,0.6042228
fucktardery,0.60411164
bugfucker,0.60327716
jackwagon,0.60322077
godman,0.60279677
mooselimb,0.60274027
tryhard,0.6012648
gurrier,0.60063667
philander,0.60016741
cockwomble,0.59968141
shitass,0.59950683
shitskin,0.59907056
egotistic,0.59871919
superfuck,0.59869705
slutbag,0.59817207
niggerfucker,0.59789453
bossy,0.59740272
drivelling,0.59722053
bonkers,0.59714408
megadouche,0.59705179
prickhead,0.59668092
shame,0.59659974
craphat,0.59648673
cretinous,0.59635617
roundeye,0.59628318
spoilsport,0.59596332
ballbag,0.59495539
wankhead,0.59473353
wankface,0.59473353
vegelate,0.59421388
handegg,0.59402231
cuntling,0.59385206
queerbait,0.59369191
bringdown,0.5930048
cuntbucket,0.5923725
doilem,0.59230092
dickhole,0.59218489
scanger,0.59202188
shitpicker,0.59190713
niggerfaggot,0.59126659
hosebeast,0.59100555
cockster,0.59091297
surly,0.59055201
lez,0.59037398
derm,0.59032159
wizened,0.59022744
beanbreath,0.59016142
dicksplat,0.59013785
sodding,0.5894617
fingerbang,0.58918223
bluehair,0.58912886
nancyboy,0.58910943
umlungu,0.58881216
shitbum,0.58865355
douchiness,0.58860037
niggergram,0.58859393
butterbody,0.58818443
moonrunes,0.58790733
prostitot,0.58774083
cockbreath,0.5876967
dickbreath,0.5876967
weeniehead,0.58767489
fibber,0.58764569
radgie,0.58756301
dickweasel,0.58751565
wogball,0.58717342
rayah,0.58711767
sleazo,0.58693542
lardbucket,0.58656995
zerobrain,0.58626014
cavalier,0.5861808
snowflake,0.58606527
farthead,0.58562315
knave,0.58550248
cuntbutt,0.5853789
hungover,0.58534371
heirhead,0.58528319
poofery,0.58513164
shitfucker,0.58497813
stuffy,0.58494154
nappyhead,0.58477245
slangrill,0.58466781
yarco,0.58462787
buckra,0.58444453
fucktwat,0.584292
knobtwat,0.584292
baniak,0.58418148
gormless,0.58397487
celebretard,0.58388483
cyberfreak,0.5835976
shiteater,0.58347577
hiptard,0.58301532
cankle,0.58259023
twatwaffle,0.58250676
shriekling,0.58194757
lackbrain,0.58173546
sheeny,0.58172089
pickaninny,0.58151983
asstard,0.58120452
glaik,0.58106509
truscum,0.58091416
